'Cidade','Carros por 1 mil habitantes','Motos por 1 mil habitantes',
'Blumenau','522,29','133,79','656,08'
'Brusque','506,27','186,27','692,54'
'Florian?polis','521,1','114,17','635,27'
'Lages','491,34','102,77','594,11'
'Tubar?o','492,34','234,2','726,54'
'Chapec?','479,96','170,45','650,41'
'Crici?ma','482,61','130,29','612,9'
'Joinville','488,31','121,55','609,86'
'Jaragu? do Sul','452,26','137,19','589,45'
'S?o Jos?','439,62','144,24','583,86'
'Itaja?','430,58','215,65','646,23'
'Palho?a','428,36','164,26','592,62'
'Balne?rio Cambori?','408,62','165,87','574,49'
